./data/BV/intersection-example-simple.proof-node341929.smt2,"[1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 0. 0. 0.
 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1.]",BOOLECTOR,0.002081155776977539,error,"['BOOLECTOR', 'Bitwuzla', 'MathSAT', 'YICES', 'CVC4', 'Z3']",[0]
./data/BV/intersection-example-simple.proof-node575685.smt2,"[1.         1.         1.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         1.         1.         1.01960784
 0.66666667 0.         0.94117647 0.         0.         0.
 0.         0.         0.         1.         0.         0.
 0.         0.         0.         0.         0.54545455 0.5
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.33333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         2.
 1.         0.8        1.         0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.94385027 1.
 1.         0.91397849 1.         0.         0.         0.
 0.         0.         0.         0.         1.        ]",YICES,0.21043920516967773,unsat,"['YICES', 'CVC4', 'Bitwuzla', 'Z3', 'MathSAT', 'BOOLECTOR']",[0.20870709419250488]
./data/BV/intersection-example-simple.proof-node172099.smt2,"[1.         1.         1.         0.         0.         0.
 0.         1.03448276 0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         1.         1.         0.96
 0.75       0.         0.875      0.         0.         0.
 0.         0.         0.         1.03278689 0.         0.
 0.         0.         0.         0.         0.64285714 0.6
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.42857143
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.         0.85714286 1.         0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.94599542 1.
 1.         0.91011236 1.03636364 0.         0.         0.
 0.         0.         0.         0.         1.03636364]",YICES,0.2406606674194336,unsat,"['YICES', 'MathSAT', 'Z3', 'BOOLECTOR', 'Bitwuzla', 'CVC4']",[0.23945379257202148]
./data/BV/intersection-example-simple.proof-node252840.smt2,"[1.         1.         1.         0.         0.         0.
 0.         0.98701299 0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         1.         1.         1.
 0.8        0.         1.         0.         0.         0.
 0.         0.         0.         0.98765432 0.         0.
 0.         0.         0.         0.         0.70588235 0.66666667
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.5
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.         0.88888889 1.         0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.96843566 1.
 1.         0.94857143 0.98630137 0.         0.         0.
 0.         0.         0.         0.         0.98630137]",YICES,0.19658756256103516,unsat,"['YICES', 'CVC4', 'Bitwuzla', 'BOOLECTOR', 'MathSAT', 'Z3']",[0.19544291496276855]
./data/BV/intersection-example-onelane.proof-node10267.smt2,"[1.         1.         1.         0.         0.         0.
 0.         0.72222222 0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         1.         0.55555556 0.8677686
 0.         0.         0.42857143 0.         0.         0.
 0.         0.         0.         0.73684211 0.         0.
 0.         0.         0.         0.         0.52631579 0.5
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.66666667
 1.         0.71428571 0.86206897 0.         1.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.77891654 1.
 1.         0.74209246 0.70588235 0.         0.         0.
 0.         0.         0.         0.         0.70588235]",YICES,0.1902761459350586,unsat,"['YICES', 'BOOLECTOR', 'CVC4', 'Z3', 'Bitwuzla', 'MathSAT']",[0.18871092796325684]
./data/BV/check_bvult_bvnot_4bit.smt2,"[0.         1.         1.         0.         0.         0.
 0.         0.13043478 0.         5.99999999 0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.71428571 0.
 0.         0.         0.         1.         0.6        0.09756098
 0.         0.         0.32432432 5.99999996 5.99999998 5.99999996
 0.         0.         0.         0.7706422  0.         0.
 5.99999999 0.         0.         0.         0.         0.
 5.99999996 5.99999996 0.         5.99999996 5.99999998 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.54763172 1.
 1.         0.1563981  0.06976744 0.         0.         0.
 0.         0.         0.         0.         0.06976744]",BOOLECTOR,0.001416921615600586,error,"['BOOLECTOR', 'CVC4', 'Bitwuzla', 'MathSAT', 'Z3', 'YICES']",[0]
./data/BV/intersection-example-simple.proof-node188949.smt2,"[1.16666667 1.         1.         0.         0.         0.
 0.         1.1981982  0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         0.875      0.
 2.         0.         0.         1.         1.16666667 1.10273973
 1.16666667 0.         0.97674419 0.         0.         0.
 0.         0.         0.         1.08527132 0.         0.
 0.         0.         0.         6.99999995 2.07407407 2.17241379
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         2.33333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.16666667 1.34615385 1.2        0.         1.16666667 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         1.19037102 1.
 1.         1.28626692 1.21153846 0.         0.         0.
 0.         0.         0.         0.         1.21153846]",YICES,0.21949481964111328,unsat,"['YICES', 'BOOLECTOR', 'CVC4', 'Bitwuzla', 'MathSAT', 'Z3']",[0.21797990798950195]
./data/BV/check_bvult_bvor_4bit.smt2,"[0.         1.         1.         0.         0.         0.
 0.         0.14159292 0.         4.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.6        0.
 0.         0.         0.         1.         0.61538462 0.10810811
 0.         0.         0.35555556 0.         3.99999999 3.99999998
 0.         0.         0.         0.78321678 0.         0.
 3.2        0.         7.99999997 0.         0.         0.
 3.99999998 3.99999998 0.         3.99999998 4.79999999 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.56027932 1.
 1.         0.16666667 0.1509434  0.         0.         0.
 0.         0.         0.         0.         0.1509434 ]",CVC4,0.33537793159484863,unsat,"['CVC4', 'Bitwuzla', 'YICES', 'Z3', 'BOOLECTOR', 'MathSAT']",[0.3343980312347412]
./data/BV/intersection-example-simple.proof-node693286.smt2,"[1.28571428 1.         1.         0.         0.         0.
 0.         1.35338346 0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         0.81818182 0.
 1.125      0.         0.         1.         1.2        1.38857143
 1.28571428 0.         1.63636364 0.         0.         0.
 0.         0.         0.         1.15243902 0.         0.
 0.         0.         0.         0.         0.9        0.84375
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.69230769
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         2.
 1.28571429 1.2        1.31707317 0.         1.28571428 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         1.17761514 1.
 1.         1.29821718 1.368      0.         0.         0.
 0.         0.         0.         0.         1.368     ]",YICES,0.23036408424377441,unsat,"['YICES', 'MathSAT', 'Z3', 'CVC4', 'BOOLECTOR', 'Bitwuzla']",[0.22900390625]
./data/BV/binary_driver-2007-10-09-node14896.smt2,"[1.25       1.         1.         0.         0.         0.
 0.         1.01351351 0.         0.         0.         0.
 0.         0.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         0.83333333 0.
 1.11111111 0.         0.         1.         0.625      0.83769634
 0.         0.         0.17857143 0.         0.         0.
 0.         0.         0.         0.88888889 0.         0.
 0.         0.         0.         4.99999997 0.625      2.19512195
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         9.99999997 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.09090909 0.90909091 1.45833333 0.         1.25       0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.90436759 1.
 1.         1.0058309  1.00719424 0.         0.         0.
 0.         0.         0.         0.         1.00719424]",BOOLECTOR,0.001420736312866211,error,"['BOOLECTOR', 'YICES', 'MathSAT', 'CVC4', 'Z3', 'Bitwuzla']",[0]
