solver, total time, total solved
BOOLECTOR.csv,18271.124001979828,756
Bitwuzla.csv,15971.414064645767,1315
CVC4.csv,37252.9752600193,1497
MLP_bow_binary_expo_1.csv,21193.405126571655,1746
MLP_bow_binary_expo_2.csv,17507.96491599083,1750
MLP_bow_bump_expo_1.csv,21193.405126571655,1746
MLP_bow_bump_expo_2.csv,17506.551240205765,1750
MLP_probes_binary_5_nearest_1.csv,18434.320614099503,1704
MLP_probes_binary_expo_1.csv,21549.243874788284,1727
MLP_probes_binary_expo_2.csv,19182.199524641037,1710
MLP_probes_binary_perfect_1.csv,18372.750327587128,1916
MLP_probes_binary_sgd_1.csv,19305.24978709221,1125
MLP_probes_bump_expo_1.csv,21549.243874788284,1727
MLP_probes_bump_expo_2.csv,19182.199524641037,1710
MathSAT.csv,41766.19432759285,1195
YICES.csv,12470.921966075897,1346
Z3.csv,23649.47221469879,1675
exp3a_bow_binary_expo_1.csv,25345.651545524597,1703
exp3a_bow_binary_expo_2.csv,27453.63470363617,1671
exp3a_bow_bump_expo_1.csv,27345.739029169083,1676
exp3a_bow_bump_expo_2.csv,26174.77661538124,1705
exp3a_probes_binary_20_nearest_1.csv,21949.744332313538,1698
exp3a_probes_binary_5_nearest_1.csv,21949.744332313538,1698
exp3a_probes_binary_expo_1.csv,25345.651545524597,1703
exp3a_probes_binary_expo_2.csv,27453.63470363617,1671
exp3a_probes_binary_perfect_1.csv,20808.171473026276,1917
exp3a_probes_binary_sgd_1.csv,25504.127823114395,1515
exp3a_probes_bump_expo_1.csv,27345.739029169083,1676
exp3a_probes_bump_expo_2.csv,26174.77661538124,1705
knearest_bow_binary_expo_1.csv,14322.840412139893,1813
knearest_bow_binary_expo_2.csv,14669.279951095581,1811
knearest_bow_bump_expo_1.csv,14322.840412139893,1813
knearest_bow_bump_expo_2.csv,14669.279951095581,1811
knearest_probes_binary_5_nearest_1.csv,17498.111234903336,1781
knearest_probes_binary_expo_1.csv,12711.868203878403,1834
knearest_probes_binary_expo_2.csv,13079.922970294952,1824
knearest_probes_binary_perfect_1.csv,15912.471959590912,1917
knearest_probes_binary_sgd_1.csv,15990.377245426178,1317
knearest_probes_bump_expo_1.csv,12711.868203878403,1834
knearest_probes_bump_expo_2.csv,13079.922970294952,1824
linear_bow_binary_expo_1.csv,27073.872908115387,1596
linear_bow_binary_expo_2.csv,27404.57997059822,1586
linear_bow_bump_expo_1.csv,27073.872908115387,1596
linear_bow_bump_expo_2.csv,27404.57997059822,1586
linear_probes_binary_20_nearest_1.csv,23782.18407893181,1582
linear_probes_binary_5_nearest_1.csv,23782.18407893181,1582
linear_probes_binary_expo_1.csv,27073.872908115387,1596
linear_probes_binary_expo_2.csv,27404.57997059822,1586
linear_probes_binary_perfect_1.csv,22526.208121061325,1917
linear_probes_binary_sgd_1.csv,26716.458802700043,1295
linear_probes_bump_expo_1.csv,27073.872908115387,1596
linear_probes_bump_expo_2.csv,27404.57997059822,1586
thompson_bow_binary_expo_1.csv,22361.841480970383,1709
thompson_bow_binary_expo_2.csv,18590.749752044678,1758
thompson_bow_bump_expo_1.csv,22361.841480970383,1709
thompson_bow_bump_expo_2.csv,18590.749752044678,1758
thompson_probes_binary_5_nearest_1.csv,20637.63040494919,1726
thompson_probes_binary_expo_1.csv,22361.841480970383,1709
thompson_probes_binary_expo_2.csv,18590.749752044678,1758
thompson_probes_binary_perfect_1.csv,19108.56628537178,1914
thompson_probes_binary_sgd_1.csv,24535.062068462372,1649
thompson_probes_bump_expo_1.csv,22361.841480970383,1709
thompson_probes_bump_expo_2.csv,18590.749752044678,1758
