./data/uclid/run-lf-idata-uintalu-umem-coninv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1.
 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1.
 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0.]",Bitwuzla,0.1761949062347412,error,"['Bitwuzla', 'Z3', 'CVC4', 'YICES', 'BOOLECTOR', 'MathSAT']",[0]
./data/uclid/run-lf-idata-fullalu-amem-coninv-f5.ucl-property_correspondence-vobj-0008.smt2,"[0.         1.16631431 1.         0.         0.         0.
 1.         1.14969678 0.8        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.19839085 0.         0.         1.18554007 0.         1.18741487
 1.18365685 0.         1.18861113 0.         1.21130142 1.14876033
 1.45333333 1.32121212 1.22287968 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.22586521 1.29723502 1.97597598 2.
 0.         0.         0.         1.19982921 0.         1.2
 0.         0.         0.         0.         1.19466117 1.
 1.16354816 1.18995452 1.15159129 0.99807309 1.         1.
 1.         0.         1.15320334 1.15207373 0.        ]",MathSAT,60.24259400367737,timeout (60.0 s),"['MathSAT', 'CVC4', 'Bitwuzla', 'BOOLECTOR', 'YICES', 'Z3']",[60]
./data/uclid/run-lf-bdata-fullalu-amem-coninv-f5.ucl-property_correspondence-vobj-0003.smt2,"[0.         0.43012375 1.         0.         0.         0.
 1.         0.51217575 0.85714286 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.32786421 0.         0.         0.34430022 0.         0.33567195
 0.36075949 0.         0.36087725 0.         0.33603412 0.49078341
 0.61904762 0.36351531 0.36851211 3.         0.         0.
 3.         0.         3.         0.         3.         3.
 0.         0.         0.         0.         0.         0.
 0.         3.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00545455 0.         0.00898204 0.
 0.         0.         0.         0.27357392 0.         0.27272727
 0.         0.         0.         0.         0.35736611 1.
 0.4422452  0.36797363 0.51422623 0.66973312 1.         1.
 1.         0.         0.4865811  0.00689655 3.        ]",MathSAT,60.06345772743225,timeout (60.0 s),"['MathSAT', 'CVC4', 'Z3', 'YICES', 'BOOLECTOR', 'Bitwuzla']",[60]
./data/uclid/run-nt-idata-fullalu-umem-noinv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.         0.26704225 1.         0.         0.         0.
 1.         0.36992553 1.2        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.08201718 0.         0.         0.07020202 0.         0.07920323
 0.12000463 0.         0.13406883 0.         0.07982447 0.3567681
 0.25742574 0.07320261 0.14023372 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.42567019 0.15503876 0.19373219 0.19047619
 0.         0.         0.         0.00155159 0.         0.
 0.         0.         0.         0.         0.11745054 1.
 0.26379691 0.12907559 0.36455377 1.13216081 1.         1.
 0.84210526 0.         0.34930777 0.42710472 0.        ]",MathSAT,60.01992917060852,timeout (60.0 s),"['MathSAT', 'YICES', 'Z3', 'Bitwuzla', 'CVC4', 'BOOLECTOR']",[60]
./data/uclid/run-std-idata-thrualu-umem-coninv-f5.ucl-property_correspondence-vobj-0003.smt2,"[0.         0.59006211 1.         0.         0.         0.
 1.         0.6517652  1.15384615 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.4626603  0.         0.         0.47945205 0.         0.45630859
 0.47678927 0.         0.49240348 0.         0.46469752 0.65633546
 0.45045045 0.37484885 0.48945783 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.71677105 0.48951049 0.01420455 0.
 0.         0.         0.         0.41770352 0.         0.41666667
 0.         0.         0.         0.         0.48317618 1.
 0.60514189 0.50570445 0.64542708 1.08834759 1.         1.
 1.04166667 0.         0.64471243 0.74300699 0.        ]",MathSAT,60.05747199058533,timeout (60.0 s),"['MathSAT', 'Bitwuzla', 'CVC4', 'YICES', 'BOOLECTOR', 'Z3']",[60]
./data/uclid/run-full-bdata-fullalu-amem-noinv-f5.ucl-property_correspondence-vobj-0007.smt2,"[0.         1.55412371 1.         0.         0.         0.
 1.         1.54559553 0.8        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.72773932 0.         0.         1.43710392 0.         1.50556901
 1.59028072 0.         1.66413567 0.         1.81845402 1.45127851
 1.79810726 1.92276089 1.7207304  4.35443038 0.         0.
 4.80952381 0.         4.80952381 0.         4.84821429 4.80952381
 0.         0.         0.         0.         0.         0.
 0.         4.80952381 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02494802 0.         0.08403361 0.
 0.         0.         0.         1.75289381 0.         1.75403226
 0.         0.         0.         0.         1.70257463 1.
 1.52819957 1.57581288 1.58041675 0.6779538  1.         1.
 1.03448276 0.         1.46105263 0.03130435 4.41758242]",MathSAT,60.20330858230591,timeout (60.0 s),"['MathSAT', 'YICES', 'BOOLECTOR', 'Z3', 'CVC4', 'Bitwuzla']",[60]
./data/uclid/run-full-udata-thrualu-amem-noinv-f5.ucl-property_correspondence-vobj-0007.smt2,"[0.         1.44012282 1.         0.         0.         0.
 1.         1.36152405 1.16666667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.51111423 0.         0.         1.35184926 0.         1.4378888
 1.43203259 0.         1.49917354 0.         1.53191965 1.36964981
 1.61407767 1.69221184 1.53730092 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02898551 0.         0.09668508 0.
 0.         0.         0.         1.58266796 0.         1.58346334
 0.         0.         0.         0.         1.48780228 1.
 1.4209768  1.39548476 1.36465798 0.71064832 1.         1.
 1.02941176 0.         1.37076749 0.03633218 0.        ]",MathSAT,60.19813299179077,timeout (60.0 s),"['MathSAT', 'CVC4', 'BOOLECTOR', 'Z3', 'Bitwuzla', 'YICES']",[60]
./data/uclid/run-stall-bdata-thrualu-amem-coninv-f7.ucl-property_correspondence-vobj-0004.smt2,"[0.         0.75337748 1.         0.         0.         0.
 1.         0.7744556  0.8        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.73286856 0.         0.         0.86868561 0.         0.88397034
 0.70965221 0.         0.76698008 0.         0.67970729 0.7967968
 0.91182796 0.55652174 0.72006102 2.03773585 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01652893 0.         0.04395604 0.
 0.         0.         0.         0.66952177 0.         0.66904932
 0.         0.         0.         0.         0.73836409 1.
 0.76602397 0.73514563 0.76689736 0.73256593 1.         1.
 1.14285714 0.         0.78942014 0.02070751 1.9396462 ]",MathSAT,60.0987331867218,timeout (60.0 s),"['MathSAT', 'CVC4', 'Bitwuzla', 'YICES', 'Z3', 'BOOLECTOR']",[60]
./data/uclid/run-std-idata-uintalu-umem-noinv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0.         1.21024877 1.         0.         0.         0.
 1.         1.16818851 1.17391304 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.22632642 0.         0.         1.10132617 0.         1.1288166
 1.13326177 0.         1.15975644 0.         1.21368278 1.17152808
 0.72924901 1.0343766  1.17572944 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.03782632 2.10183767 0.09782609 0.
 0.         0.         0.         1.27981019 0.         1.2801962
 0.         0.         0.         0.         1.17403623 1.
 1.19478025 1.13807141 1.16824705 1.22808858 1.         1.
 1.00746269 0.         1.17079646 2.16895874 0.        ]",MathSAT,60.172667026519775,timeout (60.0 s),"['MathSAT', 'Bitwuzla', 'CVC4', 'YICES', 'Z3', 'BOOLECTOR']",[60]
./data/uclid/run-std-bdata-uintalu-umem-noinv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.         0.26450893 1.         0.         0.         0.
 1.         0.36514994 1.15384615 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.07687823 0.         0.         0.07451727 0.         0.08017421
 0.12456631 0.         0.12731915 0.         0.07204358 0.36493289
 0.2504817  0.06119327 0.13734467 0.94017094 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00532481 0.         0.         0.
 0.         0.         0.         0.00153046 0.         0.
 0.         0.         0.         0.         0.11403416 1.
 0.26292629 0.13002595 0.35709873 0.66439597 1.         1.
 1.00671141 0.         0.3501281  0.0065445  0.96804511]",MathSAT,60.01964807510376,timeout (60.0 s),"['MathSAT', 'BOOLECTOR', 'Z3', 'YICES', 'Bitwuzla', 'CVC4']",[60]
./data/uclid/run-std-bdata-fullalu-umem-noinv-f5.ucl-property_correspondence-vobj-0010.smt2,"[0.         2.09585328 1.         0.         0.         0.
 1.         2.05461959 1.13793103 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 2.36992253 0.         0.         2.09724423 0.         2.13842596
 2.12903915 0.         2.19089138 0.         2.43697258 1.93536122
 1.29081633 1.91747368 2.19424084 4.2292854  0.         0.
 6.11971831 0.         6.11971831 0.         6.15437561 6.11971831
 0.         0.         0.         0.         0.         0.
 0.         6.11971831 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.05246423 0.         0.23404255 0.
 0.         0.         0.         2.43439399 0.         2.43627685
 0.         0.         0.         0.         2.27180501 1.
 2.07311847 2.20995775 2.09859014 0.7626125  1.         1.
 1.00609756 0.         1.95435393 0.06441119 4.7007535 ]",MathSAT,60.310964822769165,timeout (60.0 s),"['MathSAT', 'Z3', 'CVC4', 'BOOLECTOR', 'YICES', 'Bitwuzla']",[60]
