./data/uclid/run-btfnt-idata-fullalu-amem-noinv-f5.ucl-property_correspondence-vobj-0008.smt2,"[0. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1.
 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1.
 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0.]",CVC4,13.983609199523926,unsat,"['CVC4', 'YICES', 'Z3', 'BOOLECTOR', 'Bitwuzla', 'MathSAT']",[13.709995985031128]
./data/uclid/run-std-bdata-fullalu-amem-noinv-f5.ucl-property_correspondence-vobj-0008.smt2,"[0.         1.         1.         0.         0.         0.
 1.         1.03483662 1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.96721728 0.         0.         0.81322764 0.         0.8924822
 0.99216812 0.         0.98220757 0.         1.0136089  1.
 1.         1.         1.00958466 2.         0.         0.
 2.         0.         2.         0.         2.         2.
 0.         0.         0.         0.         0.         0.
 0.         2.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02058824 0.         0.02905569 0.
 0.         0.         0.         0.82013541 0.         0.829559
 0.         0.         0.         0.         0.9797664  1.
 1.         1.00765315 1.04480722 0.73680844 1.         1.
 1.         0.         1.         0.02761341 2.        ]",YICES,0.2593669891357422,error,"['YICES', 'BOOLECTOR', 'CVC4', 'Bitwuzla', 'Z3', 'MathSAT']",[0]
./data/uclid/run-std-udata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0004.smt2,"[0.         0.53418482 1.         0.         0.         0.
 1.         0.56595092 1.28571429 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.43127584 0.         0.         0.44358839 0.         0.45563402
 0.49025389 0.         0.47716755 0.         0.43328165 0.59402985
 0.58671587 0.45867769 0.47580645 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01317716 0.         0.01445783 0.
 0.         0.         0.         0.36394206 0.         0.36715481
 0.         0.         0.         0.         0.45510082 1.
 0.54837105 0.51201069 0.55533541 0.80297099 1.         1.
 1.         0.         0.58551308 0.01764706 0.        ]",BOOLECTOR,0.11194276809692383,error,"['BOOLECTOR', 'Bitwuzla', 'MathSAT', 'Z3', 'CVC4', 'YICES']",[0]
./data/uclid/run-stall-idata-thrualu-amem-coninv-f7.ucl-property_correspondence-vobj-0010.smt2,"[0.         1.39019608 1.         0.         0.         0.
 1.         1.33021351 0.88888889 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.45838326 0.         0.         1.57610642 0.         1.6486584
 1.50076758 0.         1.52333916 0.         1.40631505 1.37940026
 1.34313725 1.26939351 1.39404553 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.21671018 2.02136401 0.07565012 0.
 0.         0.         0.         1.30545391 0.         1.31460674
 0.         0.         0.         0.         1.4673003  1.
 1.39403759 1.48873213 1.31840607 1.24589924 1.         1.
 1.09677419 0.         1.38076416 2.21366025 0.        ]",CVC4,16.716093063354492,unsat,"['CVC4', 'YICES', 'Bitwuzla', 'BOOLECTOR', 'Z3', 'MathSAT']",[16.379722833633423]
./data/uclid/run-btfnt-bdata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0.         0.80994112 1.         0.         0.         0.
 1.         0.8146652  0.90909091 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.80293242 0.         0.         1.02663143 0.         0.84470776
 0.84495663 0.         0.81167754 0.         0.76693896 0.84056399
 0.82822086 0.81957547 0.78908555 1.92575406 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01626545 0.         0.04683841 0.
 0.         0.         0.         0.70176753 0.         0.70566948
 0.         0.         0.         0.         0.81632905 1.
 0.8178615  0.8330023  0.80614356 0.78191714 1.         1.
 0.97402597 0.         0.83424808 0.02179599 1.84263959]",Z3,0.3317291736602783,unsat,"['Z3', 'MathSAT', 'Bitwuzla', 'BOOLECTOR', 'YICES', 'CVC4']",[0.1210780143737793]
./data/uclid/run-std-bdata-uintalu-umem-coninv-f5.ucl-property_correspondence-vobj-0008.smt2,"[0.         1.10850636 1.         0.         0.         0.
 1.         1.08533039 1.28571429 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.05298077 0.         0.         0.95939541 0.         0.98155815
 1.08798477 0.         1.05844347 0.         1.07567289 1.11091471
 0.60661765 0.97729516 1.04204753 1.82229402 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02720207 0.         0.08314088 0.
 0.         0.         0.         1.04318772 0.         1.04828273
 0.         0.         0.         0.         1.0558582  1.
 1.11216604 1.13257454 1.07730478 0.81288635 1.         1.
 0.97826087 0.         1.11091234 0.03639515 2.00135318]",CVC4,4.668310165405273,unsat,"['CVC4', 'BOOLECTOR', 'YICES', 'Bitwuzla', 'Z3', 'MathSAT']",[4.411184072494507]
./data/uclid/run-btfnt-udata-thrualu-umem-noinv-f5.ucl-property_correspondence-vobj-0010.smt2,"[0.         1.33396584 1.         0.         0.         0.
 1.         1.29415611 1.55555555 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.42053746 0.         0.         1.62838701 0.         1.44068416
 1.40905721 0.         1.38672607 0.         1.37340768 1.29153153
 0.78792822 1.18293683 1.3189911  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04056665 0.         0.12698413 0.
 0.         0.         0.         1.30800966 0.         1.31338455
 0.         0.         0.         0.         1.39966922 1.
 1.32303698 1.2976983  1.29602043 0.83600796 1.         1.
 0.98130841 0.         1.29175784 0.05417025 0.        ]",MathSAT,60.345860958099365,timeout (60.0 s),"['MathSAT', 'BOOLECTOR', 'Z3', 'YICES', 'Bitwuzla', 'CVC4']",[60]
./data/uclid/run-nt-idata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0.         0.77257143 1.         0.         0.         0.
 1.         0.78437154 0.8        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.70141257 0.         0.         0.64022185 0.         0.67730658
 0.7384574  0.         0.73773292 0.         0.72184279 0.80155642
 0.93371758 0.81885125 0.75268817 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.95131451 1.60315375 0.07191011 0.
 0.         0.         0.         0.68928736 0.         0.69154045
 0.         0.         0.         0.         0.72211085 1.
 0.78021978 0.77784835 0.77840745 1.3380808  1.         1.
 0.98360656 0.         0.79842416 1.92292619 0.        ]",YICES,0.19561100006103516,error,"['YICES', 'Bitwuzla', 'Z3', 'MathSAT', 'BOOLECTOR', 'CVC4']",[0]
./data/uclid/run-full-bdata-fullalu-umem-noinv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.00000000e+00 1.70817650e-01 9.99999999e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 2.50268759e-01
 1.17391304e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.99999999e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.99999999e-01
 4.67257372e-02 0.00000000e+00 0.00000000e+00 3.75506529e-02
 0.00000000e+00 4.46474485e-02 8.22274091e-02 0.00000000e+00
 8.34563284e-02 0.00000000e+00 4.74229010e-02 2.41401073e-01
 1.65487977e-01 4.61538462e-02 8.38881491e-02 6.01507538e-01
 0.00000000e+00 0.00000000e+00 4.28571429e-01 0.00000000e+00
 4.28571429e-01 0.00000000e+00 3.41517857e-01 4.28571429e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.28571429e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.37956204e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.27510114e-04 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.26842110e-02 1.00000000e+00 1.70511296e-01 8.30069595e-02
 2.45538634e-01 7.33275891e-01 1.00000000e+00 1.00000000e+00
 9.85401459e-01 0.00000000e+00 2.35933504e-01 5.87467363e-03
 6.02272727e-01]",BOOLECTOR,0.039260149002075195,error,"['BOOLECTOR', 'MathSAT', 'CVC4', 'YICES', 'Z3', 'Bitwuzla']",[0]
./data/uclid/run-nt-bdata-thrualu-umem-coninv-f5.ucl-property_correspondence-vobj-0005.smt2,"[0.         0.7049278  1.         0.         0.         0.
 1.         0.72828759 1.15384615 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.62293096 0.         0.         0.56285763 0.         0.60850544
 0.65105912 0.         0.66212072 0.         0.63866191 0.74203915
 0.45883941 0.56016598 0.64757161 1.48845167 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01942691 0.         0.06696429 0.
 0.         0.         0.         0.6071336  0.         0.60884649
 0.         0.         0.         0.         0.64612714 1.
 0.71470632 0.69430242 0.72128305 0.83305587 1.         1.
 0.9868421  0.         0.73734084 0.02604167 1.58342189]",Z3,0.28034496307373047,unsat,"['Z3', 'Bitwuzla', 'MathSAT', 'BOOLECTOR', 'YICES', 'CVC4']",[0.11919808387756348]
