./data/uclid/run-nt-udata-thrualu-amem-noinv-f5.ucl-property_correspondence-vobj-0001.smt2,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],MathSAT,0.13829302787780762,unknown,"['BOOLECTOR', 'MathSAT', 'Z3', 'YICES', 'Bitwuzla', 'CVC4']","[0, 0.13829302787780762]"
./data/uclid/run-stall-idata-fullalu-amem-coninv-f7.ucl-property_correspondence-vobj-0001.smt2,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],Z3,0.03724813461303711,unsat,"['Z3', 'CVC4', 'Bitwuzla', 'YICES', 'MathSAT', 'BOOLECTOR']",[0.03724813461303711]
./data/uclid/run-btfnt-idata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0007.smt2,"[2.99584775 2.99953351 3.         2.99999999 3.         3.
 3.         0.         3.         3.         0.        ]",Z3,0.1715850830078125,unsat,"['Bitwuzla', 'Z3', 'BOOLECTOR', 'MathSAT', 'CVC4', 'YICES']","[0, 0.1715850830078125]"
./data/uclid/run-btfnt-udata-thrualu-umem-coninv-f5.ucl-property_correspondence-vobj-0003.smt2,"[1.02674897 0.84600294 1.13497301 1.47121682 2.         2.
 2.         0.         1.11646586 0.01834862 0.        ]",CVC4,1.2470569610595703,unsat,"['CVC4', 'YICES', 'MathSAT', 'Z3', 'Bitwuzla', 'BOOLECTOR']",[1.2470569610595703]
./data/uclid/run-std-udata-uintalu-umem-coninv-f5.ucl-property_correspondence-vobj-0001.smt2,"[0.00257069 0.0003065  0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",CVC4,0.1443929672241211,unsat,"['MathSAT', 'CVC4', 'YICES', 'Z3', 'BOOLECTOR', 'Bitwuzla']","[0.09258580207824707, 0.05180716514587402]"
./data/uclid/run-sw-bdata-fullalu-amem-swinv-f6.ucl-property_correspondence-vobj-0005.smt2,"[2.0020555  2.04740944 2.1005848  1.62984279 2.         2.
 2.08695652 0.         2.         0.05454545 6.        ]",Z3,0.11845612525939941,unsat,"['Z3', 'CVC4', 'Bitwuzla', 'YICES', 'BOOLECTOR', 'MathSAT']",[0.11845612525939941]
./data/uclid/run-nt-udata-thrualu-umem-coninv-f5.ucl-property_correspondence-vobj-0008.smt2,"[2.55611135 2.61982615 2.44636064 1.50016084 1.75       1.75
 1.72131147 0.         2.49612403 0.10961969 0.        ]",Z3,2.1710450649261475,unsat,"['CVC4', 'YICES', 'Z3', 'BOOLECTOR', 'Bitwuzla', 'MathSAT']","[2, 0, 0.17104506492614746]"
./data/uclid/run-btfnt-idata-fullalu-amem-noinv-f5.ucl-property_correspondence-vobj-0001.smt2,"[0.00173951 0.00020215 0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",Z3,0.038802146911621094,unsat,"['Z3', 'Bitwuzla', 'BOOLECTOR', 'YICES', 'CVC4', 'MathSAT']",[0.038802146911621094]
./data/uclid/run-nt-bdata-fullalu-amem-noinv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.44460521 0.21661611 0.62054309 1.44552624 1.8        1.8
 1.77631579 0.         0.59372486 0.02008929 2.02978723]",Z3,0.07129716873168945,unsat,"['Z3', 'BOOLECTOR', 'CVC4', 'YICES', 'Bitwuzla', 'MathSAT']",[0.07129716873168945]
./data/uclid/run-full-bdata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0004.smt2,"[1.31885878 1.23183705 1.33237822 1.51434945 1.66666667 1.66666667
 1.64835165 0.         1.35003479 0.06651885 3.314367  ]",BOOLECTOR,0,error,"['Bitwuzla', 'BOOLECTOR', 'Z3', 'YICES', 'CVC4', 'MathSAT']","[0, 0]"
./data/uclid/run-stall-bdata-fullalu-umem-coninv-f7.ucl-property_correspondence-vobj-0006.smt2,"[1.95825959 2.0783908  2.02138323 1.45408808 1.57142857 1.57142857
 1.73148148 0.         1.92073521 0.12061404 4.29314831]",CVC4,3.1944830417633057,unsat,"['CVC4', 'BOOLECTOR', 'Z3', 'MathSAT', 'Bitwuzla', 'YICES']",[3.1944830417633057]
./data/uclid/run-full-udata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.4481045  0.22285331 0.55813953 1.26918795 1.5        1.5
 1.46341463 0.         0.55232877 0.02625821 0.        ]",CVC4,0.514739990234375,unsat,"['CVC4', 'YICES', 'Z3', 'MathSAT', 'Bitwuzla', 'BOOLECTOR']",[0.514739990234375]
./data/uclid/run-full-idata-fullalu-amem-coninv-f5.ucl-property_correspondence-vobj-0007.smt2,"[2.21058214 2.33791166 2.07735546 2.18571633 1.44444444 1.44444444
 1.41304348 0.         2.13690476 6.332211   0.        ]",Z3,0.17221784591674805,unsat,"['Z3', 'CVC4', 'MathSAT', 'Bitwuzla', 'YICES', 'BOOLECTOR']",[0.17221784591674805]
