./tmp/uclid/run-std-udata-uintalu-amem-noinv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1.
 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1.
 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0.]",YICES,0.15928101539611816,error,"['Bitwuzla', 'YICES', 'MathSAT', 'Z3', 'CVC4', 'BOOLECTOR']","[0, 0]"
./tmp/uclid/run-full-idata-thrualu-amem-noinv-f5.ucl-property_correspondence-vobj-0003.smt2,"[0.         0.5729927  1.         0.         0.         0.
 1.         0.63678516 0.8        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.45503747 0.         0.         0.46634615 0.         0.47126786
 0.51482014 0.         0.51575161 0.         0.46410296 0.63781321
 0.65       0.48167539 0.5        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.95918367 2.         0.4        0.
 0.         0.         0.         0.4010327  0.         0.4
 0.         0.         0.         0.         0.49876321 1.
 0.57402913 0.50267738 0.63257066 1.26223272 1.         1.
 1.         0.         0.62937063 1.94285714 0.        ]",CVC4,1.0677297115325928,unsat,"['Bitwuzla', 'CVC4', 'YICES', 'Z3', 'MathSAT', 'BOOLECTOR']","[0, 1.011814832687378]"
./tmp/uclid/run-stall-idata-thrualu-amem-coninv-f7.ucl-property_correspondence-vobj-0001.smt2,"[0.00000000e+00 5.46448087e-03 9.99999999e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.33333333e-01 4.62962963e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.99999999e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.99999999e-01
 0.00000000e+00 0.00000000e+00 2.99999999e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.01714574e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.91803279e-02 1.56250000e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.62903226e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.18386957e-03 1.00000000e+00 1.81928441e-03 2.50983017e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",CVC4,0.21765708923339844,unsat,"['MathSAT', 'Bitwuzla', 'CVC4', 'BOOLECTOR', 'Z3', 'YICES']","[0.12182188034057617, 0, 0.09478902816772461]"
./tmp/uclid/run-full-bdata-fullalu-amem-coninv-f5.ucl-property_correspondence-vobj-0009.smt2,"[0.         2.13793103 1.         0.         0.         0.
 1.23076923 2.11764706 1.14285714 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 2.33136506 0.         0.         2.39227053 0.         2.31936638
 2.33940625 0.         2.32420175 0.         2.3865399  2.07244786
 2.00816327 2.3340564  2.26356589 4.         0.         0.
 4.         0.         4.         0.         4.         4.
 0.         0.         0.         0.         0.         0.
 0.         4.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.125      0.         2.33333333 0.
 0.         0.         0.         2.34059265 0.         2.34167262
 0.         0.         0.         0.         2.3494586  1.
 2.14927048 2.40785881 2.13784461 1.08005296 1.33333333 1.33333333
 1.33333333 0.         2.08908686 0.17486339 4.        ]",CVC4,14.514686107635498,unsat,"['CVC4', 'BOOLECTOR', 'MathSAT', 'YICES', 'Z3', 'Bitwuzla']",[14.24157190322876]
./tmp/uclid/run-lf-bdata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0010.smt2,"[0.         1.87731686 1.         0.         0.         0.
 1.17647059 1.77517564 1.11111111 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.95021186 0.         0.         2.12545628 0.         2.1466064
 2.02614844 0.         1.95411372 0.         1.89082494 1.83680556
 1.79319372 1.91432396 1.93149382 2.41102181 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.16981132 0.         2.         0.
 0.         0.         0.         2.00363714 0.         2.00428266
 0.         0.         0.         0.         1.94459482 1.
 1.88188976 1.96893231 1.76202069 1.06342336 1.25       1.25
 1.25       0.         1.84247539 0.234375   2.3403456 ]",Z3,60.298933029174805,timeout (30.0 s),"['YICES', 'CVC4', 'Bitwuzla', 'Z3', 'BOOLECTOR', 'MathSAT']","[0, 30, 0, 30]"
./tmp/uclid/run-std-udata-uintalu-umem-noinv-f5.ucl-property_correspondence-vobj-0001.smt2,"[0.00000000e+00 3.17572336e-03 9.99999999e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.33333333e-01 2.80898876e-03
 6.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.99999999e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.99999999e-01
 0.00000000e+00 0.00000000e+00 2.99999999e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.02959220e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.12500000e-02 8.02139037e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.17845722e-04 1.00000000e+00 1.04968509e-03 1.21119141e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",CVC4,0.16240191459655762,unsat,"['CVC4', 'BOOLECTOR', 'YICES', 'Bitwuzla', 'MathSAT', 'Z3']",[0.1611769199371338]
./tmp/uclid/run-nt-idata-fullalu-amem-noinv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0.         1.20026312 1.         0.         0.         0.
 1.27272727 1.194901   1.16666667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.16409079 0.         0.         1.05445845 0.         1.09477245
 1.08054679 0.         1.15550095 0.         1.17050221 1.19689119
 1.21935484 1.1036036  1.18418972 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         4.57198953 5.58556701 6.42857143 7.
 0.         0.         0.         1.16062823 0.         1.16041443
 0.         0.         0.         0.         1.14911301 1.
 1.19358584 1.09277367 1.19336924 1.86333898 1.4        1.4
 1.4        0.         1.1993007  4.6        0.        ]",CVC4,2.80763578414917,unsat,"['YICES', 'CVC4', 'BOOLECTOR', 'MathSAT', 'Bitwuzla', 'Z3']","[0, 2.657263994216919]"
./tmp/uclid/run-std-bdata-thrualu-amem-noinv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0.         1.17095084 1.         0.         0.         0.
 1.23076923 1.16723776 1.14285714 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.12794447 0.         0.         1.04651435 0.         1.10140008
 1.07392186 0.         1.10123118 0.         1.11972812 1.17485265
 1.18681319 1.08276534 1.15753888 1.77301162 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.0520156  0.         0.12851406 0.
 0.         0.         0.         1.13778322 0.         1.13760343
 0.         0.         0.         0.         1.10742393 1.
 1.16538557 1.06348409 1.16520489 1.07703129 1.33333333 1.33333333
 1.33333333 0.         1.17014925 0.07079646 1.71428571]",Z3,1.28346586227417,unsat,"['MathSAT', 'Z3', 'YICES', 'CVC4', 'Bitwuzla', 'BOOLECTOR']","[1, 0.12527894973754883]"
./tmp/uclid/run-btfnt-idata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0008.smt2,"[0.         1.54049023 1.         0.         0.         0.
 1.2        1.49557604 1.125      0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.69498153 0.         0.         2.33608051 0.         1.86508304
 1.67338599 0.         1.64206603 0.         1.57137602 1.53908795
 1.49770992 1.49147035 1.53449243 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         4.21369295 4.29633621 0.21176471 0.
 0.         0.         0.         1.59317122 0.         1.59344262
 0.         0.         0.         0.         1.66346897 1.
 1.55064135 1.65111623 1.48559424 1.668208   1.28571429 1.28571429
 1.28571429 0.         1.53712871 4.22535211 0.        ]",Z3,1.4210739135742188,unsat,"['MathSAT', 'Bitwuzla', 'YICES', 'Z3', 'BOOLECTOR', 'CVC4']","[1, 0, 0, 0.17136788368225098]"
./tmp/uclid/run-btfnt-bdata-thrualu-amem-noinv-f5.ucl-property_correspondence-vobj-0005.smt2,"[0.         0.885181   1.         0.         0.         0.
 1.17647059 0.91061406 1.11111111 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.88587704 0.         0.         1.10021618 0.         0.94146323
 0.85828768 0.         0.86811545 0.         0.82583612 0.91379948
 0.92797784 0.79626168 0.85171883 1.55471698 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02758621 0.         0.11627907 0.
 0.         0.         0.         0.80727357 0.         0.80686297
 0.         0.         0.         0.         0.8771452  1.
 0.88059143 0.80205895 0.90809867 0.98654566 1.25       1.25
 1.25       0.         0.9043152  0.03741815 1.49598394]",Z3,0.253864049911499,unsat,"['Z3', 'BOOLECTOR', 'Bitwuzla', 'CVC4', 'MathSAT', 'YICES']",[0.12030386924743652]
./tmp/uclid/run-btfnt-idata-fullalu-umem-coninv-f5.ucl-property_correspondence-vobj-0003.smt2,"[0.         0.47144275 1.         0.         0.         0.
 1.15789474 0.54562102 1.57142857 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.37189567 0.         0.         0.47341978 0.         0.41560393
 0.37950175 0.         0.38976205 0.         0.34739799 0.54903339
 0.29649596 0.25702811 0.36029777 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.356711   1.36981132 2.77391304 2.57009346
 0.         0.         0.         0.4590455  0.         0.44773132
 0.         0.         0.         0.         0.38711672 1.
 0.49074654 0.40774251 0.53675249 1.60515405 1.22222222 1.22222222
 1.22222222 0.         0.54529244 1.50928168 0.        ]",Z3,0.13203096389770508,unsat,"['BOOLECTOR', 'Z3', 'YICES', 'MathSAT', 'Bitwuzla', 'CVC4']","[0, 0.07142090797424316]"
