./tmp/uclid500/run-btfnt-idata-fullalu-amem-noinv-f5.ucl-property_correspondence-vobj-0001.smt2,"[0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 0. 1. 0. 0. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",BOOLECTOR,0.0020618438720703125,error,"['YICES', 'BOOLECTOR', 'MathSAT', 'CVC4', 'Z3', 'Bitwuzla']","[0, 0]"
./tmp/uclid500/run-full-bdata-uintalu-umem-coninv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.         1.97520661 1.         0.         0.         0.
 1.6        1.98465473 2.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 2.         0.         0.         1.98268398 0.         1.98058252
 1.98697068 0.         1.99368338 0.         2.         2.
 1.73333333 1.5        2.         2.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.5        0.         0.         0.
 0.         0.         0.         2.         0.         0.
 0.         0.         0.         0.         1.98470891 1.
 1.99242424 1.99814126 2.         1.99999999 2.         2.
 2.         0.         2.         2.         2.        ]",Z3,0.10065007209777832,unsat,"['Bitwuzla', 'Z3', 'YICES', 'BOOLECTOR', 'MathSAT', 'CVC4']","[0, 0.0769510269165039]"
./tmp/uclid500/run-btfnt-idata-fullalu-amem-noinv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.         1.48434238 1.         0.         0.         0.
 1.33333333 1.48449612 1.2        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.65       0.         0.         1.57407407 0.         1.59225513
 1.40242845 0.         1.45013257 0.         1.58994709 1.46551724
 1.875      1.66666667 1.53488372 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.92258065 3.         3.         3.
 0.         0.         0.         2.93877551 0.         3.
 0.         0.         0.         0.         1.49697298 1.
 1.42544732 1.43224866 1.5        1.98260869 1.5        1.5
 1.33333333 0.         1.48192771 2.97142857 0.        ]",Z3,0.09265804290771484,unsat,"['Z3', 'CVC4', 'YICES', 'BOOLECTOR', 'MathSAT', 'Bitwuzla']",[0.07136011123657227]
./tmp/uclid500/run-std-bdata-uintalu-amem-coninv-f5.ucl-property_correspondence-vobj-0010.smt2,"[0.         3.2647736  1.         0.         0.         0.
 1.23076923 2.98425197 1.14285714 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 3.75206612 0.         0.         3.64019989 0.         3.68569894
 3.59458509 0.         3.59151028 0.         3.77828828 3.00995733
 3.0960452  3.75919732 3.60997732 3.45679012 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.2195122  0.         1.03225806 0.
 0.         0.         0.         3.89802289 0.         3.90814196
 0.         0.         0.         0.         3.63614979 1.
 3.24189902 3.61204013 3.0012959  1.10194731 1.33333333 1.33333333
 1.42857143 0.         3.03768116 0.31578947 3.43250689]",CVC4,60.327815771102905,timeout (29.0 s),"['Z3', 'YICES', 'MathSAT', 'BOOLECTOR', 'Bitwuzla', 'CVC4']","[1, 0, 30, 0, 0, 29]"
./tmp/uclid500/run-lf-idata-uintalu-umem-coninv-f5.ucl-property_correspondence-vobj-0008.smt2,"[0.         1.94203239 1.         0.         0.         0.
 1.17647059 1.85902721 1.5        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 2.09178309 0.         0.         2.15151835 0.         2.1907683
 2.16648401 0.         2.09013661 0.         2.07486203 1.86720143
 1.18534483 1.77801724 1.96280992 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         3.88435374 4.6049896  0.81081081 0.
 0.         0.         0.         2.11151187 0.         2.11445783
 0.         0.         0.         0.         2.08508635 1.
 1.93745673 2.05578054 1.86314363 1.59903104 1.25       1.25
 1.31578947 0.         1.875      4.07166124 0.        ]",Z3,30.425891876220703,unsat,"['Bitwuzla', 'MathSAT', 'Z3', 'CVC4', 'YICES', 'BOOLECTOR']","[0, 30, 0.1709439754486084]"
./tmp/uclid500/run-std-idata-uintalu-umem-noinv-f5.ucl-property_correspondence-vobj-0010.smt2,"[0.         1.98649922 1.         0.         0.         0.
 1.14285714 1.90548523 1.38461538 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 2.1079659  0.         0.         1.88040252 0.         1.9713707
 1.9689414  0.         2.02213221 0.         2.13209704 1.87752603
 1.37541528 1.91788856 2.03639672 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.96280992 3.28248588 1.06666667 0.
 0.         0.         0.         2.14930556 0.         2.15146832
 0.         0.         0.         0.         2.04448021 1.
 1.96554935 1.91941143 1.92039801 1.45266556 1.2        1.2
 1.25       0.         1.88571429 3.04333868 0.        ]",Z3,13.178900718688965,unsat,"['Z3', 'Bitwuzla', 'BOOLECTOR', 'YICES', 'MathSAT', 'CVC4']",[12.879539966583252]
./tmp/uclid500/run-full-bdata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0.         1.09638554 1.         0.         0.         0.
 1.12       1.10308057 0.93333333 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.08428377 0.         0.         1.09917002 0.         1.09892987
 1.12045653 0.         1.1421952  0.         1.1181828  1.11380021
 1.48429319 1.30989273 1.14089871 2.36512262 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02402196 0.         0.57142857 0.
 0.         0.         0.         1.07155694 0.         1.07198953
 0.         0.         0.         0.         1.12745597 1.
 1.10430009 1.13985881 1.10108696 0.86806734 1.16666667 1.16666667
 1.20689655 0.         1.11180773 0.02797762 2.33333333]",Z3,0.3033440113067627,unsat,"['Z3', 'BOOLECTOR', 'YICES', 'Bitwuzla', 'CVC4', 'MathSAT']",[0.11878108978271484]
./tmp/uclid500/run-full-udata-uintalu-umem-noinv-f5.ucl-property_correspondence-vobj-0008.smt2,"[0.         1.42788775 1.         0.         0.         0.
 1.10344828 1.40173947 1.68421053 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.46728532 0.         0.         1.33462145 0.         1.38865368
 1.44925535 0.         1.48523798 0.         1.50231481 1.38048573
 1.00686499 1.48981571 1.42678348 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03825137 0.         0.87272727 0.
 0.         0.         0.         1.48309822 0.         1.48400853
 0.         0.         0.         0.         1.47267141 1.
 1.41424575 1.37646444 1.4100793  0.88427596 1.14285714 1.14285714
 1.17647059 0.         1.38288678 0.0445151  0.        ]",Z3,0.4324936866760254,unsat,"['Z3', 'YICES', 'CVC4', 'BOOLECTOR', 'MathSAT', 'Bitwuzla']",[0.16965484619140625]
./tmp/uclid500/run-btfnt-idata-fullalu-umem-coninv-f5.ucl-property_correspondence-vobj-0004.smt2,"[0.         0.64603735 1.         0.         0.         0.
 1.09090909 0.69698882 1.22727273 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.62642725 0.         0.         0.8243418  0.         0.69789542
 0.59709865 0.         0.61450265 0.         0.59064781 0.69693396
 0.5237069  0.47150735 0.58455237 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.43193567 1.57919255 6.59708738 7.92
 0.         0.         0.         0.77099051 0.         0.75585937
 0.         0.         0.         0.         0.62689585 1.
 0.6595872  0.63685848 0.69181722 1.4376262  1.125      1.125
 1.15384615 0.         0.69617225 1.42168675 0.        ]",Z3,0.22774839401245117,unsat,"['Z3', 'BOOLECTOR', 'MathSAT', 'Bitwuzla', 'YICES', 'CVC4']",[0.12451314926147461]
./tmp/uclid500/run-btfnt-bdata-fullalu-umem-noinv-f5.ucl-property_correspondence-vobj-0003.smt2,"[ 0.          0.45393215  1.          0.          0.          0.
  1.08108108  0.54793353  1.2         0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          1.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          1.
  0.3818149   0.          0.          0.44993383  0.          0.40710985
  0.3616704   0.          0.38163668  0.          0.36808496  0.51454139
  0.41322314  0.28571429  0.37183099  1.33412043  0.          0.
 10.          0.         10.          0.         10.         10.
  0.          0.          0.          0.          0.          0.
  0.         10.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 10.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.01147447  0.          0.04830918  0.
  0.          0.          0.          0.27570702  0.          0.27540361
  0.          0.          0.          0.          0.39331157  1.
  0.4503904   0.3732382   0.55115475  0.83594166  1.11111111  1.11111111
  1.13636364  0.          0.5107832   0.01336898  1.49882904]",CVC4,1.2677979469299316,unsat,"['BOOLECTOR', 'Bitwuzla', 'CVC4', 'Z3', 'MathSAT', 'YICES']","[0, 0, 1.1967260837554932]"
./tmp/uclid500/run-full-udata-thrualu-umem-coninv-f5.ucl-property_correspondence-vobj-0010.smt2,"[0.         1.87131089 1.         0.         0.         0.
 1.07317073 1.788854   1.51724138 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.98228997 0.         0.         1.96059738 0.         1.99004398
 2.00762014 0.         2.0253827  0.         2.03768346 1.81220803
 1.37251356 1.95447871 1.94387755 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.05650685 0.         0.40930233 0.
 0.         0.         0.         1.99564122 0.         2.
 0.         0.         0.         0.         2.00359853 1.
 1.86999131 2.04628025 1.78828366 0.86367728 1.1        1.1
 1.12244898 0.         1.82001895 0.06578073 0.        ]",MathSAT,60.34829497337341,timeout (21.0 s),"['Z3', 'CVC4', 'BOOLECTOR', 'MathSAT', 'Bitwuzla', 'YICES']","[9, 30, 0, 21]"
