./tmp/uclid500/run-full-idata-uintalu-umem-coninv-f5.ucl-property_correspondence-vobj-0004.smt2,"[0. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1.
 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1.
 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0.]",MathSAT,0.30179500579833984,sat,"['MathSAT', 'BOOLECTOR', 'CVC4', 'YICES', 'Z3', 'Bitwuzla']",[0.20689916610717773]
./tmp/uclid500/run-stall-idata-thrualu-amem-coninv-f7.ucl-property_correspondence-vobj-0003.smt2,"[0.         0.8010118  1.         0.         0.         0.
 1.         0.83940621 0.8        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.75762339 0.         0.         0.84738791 0.         0.87412041
 0.75864795 0.         0.78120128 0.         0.7167047  0.83965015
 1.18181818 0.64676617 0.7752809  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.92485549 0.76752768 0.66666667 0.
 0.         0.         0.         0.66761364 0.         0.66666667
 0.         0.         0.         0.         0.76439254 1.
 0.80875203 0.74803932 0.83853702 0.99632529 1.         1.
 1.0625     0.         0.83483483 0.83743842 0.        ]",Z3,0.12649297714233398,unsat,"['Bitwuzla', 'Z3', 'CVC4', 'MathSAT', 'YICES', 'BOOLECTOR']","[0, 0.07133197784423828]"
./tmp/uclid500/run-lf-idata-fullalu-umem-coninv-f5.ucl-property_correspondence-vobj-0005.smt2,"[0.         1.33192686 1.         0.         0.         0.
 1.         1.27473807 1.125      0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.44145027 0.         0.         1.41456522 0.         1.41968699
 1.44242611 0.         1.38544109 0.         1.45605686 1.27058824
 1.02       1.34794521 1.4011976  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.20828539 1.57368421 2.94886364 3.
 0.         0.         0.         1.4989339  0.         1.5
 0.         0.         0.         0.         1.41361915 1.
 1.32108844 1.41407299 1.27803379 0.99832042 1.         1.
 0.95744681 0.         1.28350515 1.27966102 0.        ]",Z3,1.2499990463256836,unsat,"['MathSAT', 'Bitwuzla', 'Z3', 'CVC4', 'YICES', 'BOOLECTOR']","[1, 0, 0.1221761703491211]"
./tmp/uclid500/run-std-bdata-uintalu-amem-noinv-f5.ucl-property_correspondence-vobj-0010.smt2,"[0.         1.98868458 1.         0.         0.         0.
 1.         1.86716325 0.8        0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 2.16319184 0.         0.         1.93929891 0.         2.00205719
 2.00624073 0.         2.03424608 0.         2.17469047 1.84810127
 2.31223629 2.42502697 2.17486339 4.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04100228 0.         0.17391304 0.
 0.         0.         0.         2.27573529 0.         2.27730061
 0.         0.         0.         0.         2.07862138 1.
 1.95644115 1.99031832 1.88292683 0.65243411 1.         1.
 0.96774194 0.         1.86029412 0.05020921 4.        ]",YICES,33.29220700263977,error,"['MathSAT', 'Z3', 'Bitwuzla', 'CVC4', 'YICES', 'BOOLECTOR']","[2, 1, 0, 30, 0]"
./tmp/uclid500/run-full-udata-thrualu-amem-noinv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.         0.26456798 1.         0.         0.         0.
 1.         0.37068966 1.15384615 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.07861519 0.         0.         0.07555703 0.         0.08493428
 0.13537053 0.         0.13934407 0.         0.07569024 0.36462699
 0.47709924 0.0952381  0.14588859 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00568828 0.         0.         0.
 0.         0.         0.         0.00153139 0.         0.
 0.         0.         0.         0.         0.11961813 1.
 0.26234907 0.13543986 0.36664992 0.63499924 1.         1.
 0.97402597 0.         0.35042735 0.00696379 0.        ]",Z3,0.09621882438659668,unsat,"['Bitwuzla', 'Z3', 'YICES', 'CVC4', 'BOOLECTOR', 'MathSAT']","[0, 0.07639694213867188]"
./tmp/uclid500/run-lf-udata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.         0.30394235 1.         0.         0.         0.
 1.         0.41611695 1.125      0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.09588146 0.         0.         0.16289301 0.         0.14273023
 0.18689426 0.         0.17297124 0.         0.09028234 0.41653666
 0.52264808 0.12435233 0.17010309 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00681818 0.         0.         0.
 0.         0.         0.         0.00183711 0.         0.
 0.         0.         0.         0.         0.15083721 1.
 0.32752179 0.17927062 0.40992045 0.67613061 1.         1.
 0.97826087 0.         0.40191388 0.00834492 0.        ]",Z3,0.15787100791931152,unsat,"['BOOLECTOR', 'Z3', 'YICES', 'Bitwuzla', 'MathSAT', 'CVC4']","[0, 0.13782596588134766]"
./tmp/uclid500/run-btfnt-idata-thrualu-umem-noinv-f5.ucl-property_correspondence-vobj-0009.smt2,"[0.         1.99074776 1.         0.         0.         0.
 1.         1.85682473 1.10526316 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 2.36954642 0.         0.         2.84714795 0.         2.44907912
 2.24038556 0.         2.22359889 0.         2.27324454 1.8454911
 1.24355301 1.90957046 2.0841629  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.96330275 3.31238447 0.2565445  0.
 0.         0.         0.         2.32570027 0.         2.32760033
 0.         0.         0.         0.         2.28414315 1.
 1.96250934 2.11278879 1.86826758 1.22776382 1.         1.
 0.98130841 0.         1.85764499 3.08326848 0.        ]",Z3,4.448137998580933,unsat,"['YICES', 'BOOLECTOR', 'Bitwuzla', 'MathSAT', 'Z3', 'CVC4']","[0, 0, 0, 4, 0.17189407348632812]"
./tmp/uclid500/run-btfnt-idata-thrualu-umem-coninv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0.         1.21707819 1.         0.         0.         0.
 1.         1.18924947 1.09090909 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.33456103 0.         0.         1.66293495 0.         1.42558802
 1.3280105  0.         1.30538813 0.         1.28086889 1.20916626
 0.84102564 1.10201429 1.21044547 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.74910394 1.7591925  0.16410256 0.
 0.         0.         0.         1.28620453 0.         1.28659794
 0.         0.         0.         0.         1.32227654 1.
 1.22196912 1.35090144 1.1842759  1.19688565 1.         1.
 0.98360656 0.         1.20934858 1.78100423 0.        ]",Z3,0.28888440132141113,unsat,"['BOOLECTOR', 'Z3', 'MathSAT', 'YICES', 'Bitwuzla', 'CVC4']","[0, 0.12347006797790527]"
./tmp/uclid500/run-nt-bdata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0005.smt2,"[0.         0.97707211 1.         0.         0.         0.
 1.         0.97863035 0.75       0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.93010984 0.         0.         0.8196819  0.         0.91347612
 0.92255025 0.         0.96410185 0.         0.95514688 0.99175705
 1.31947484 1.09417808 1.01771117 2.952      0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.0183955  0.         0.13636364 0.
 0.         0.         0.         0.96876435 0.         0.96872125
 0.         0.         0.         0.         0.94793659 1.
 0.98489801 1.01878081 0.97563518 0.72899741 1.         1.
 0.98540146 0.         0.99159292 0.02172601 2.91205212]",CVC4,12.734992027282715,unsat,"['MathSAT', 'BOOLECTOR', 'Bitwuzla', 'YICES', 'CVC4', 'Z3']","[6, 0, 0, 0, 6.606842994689941]"
./tmp/uclid500/run-std-udata-uintalu-amem-coninv-f5.ucl-property_correspondence-vobj-0001.smt2,"[0.00000000e+00 3.43800138e-03 9.99999999e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.70270270e-01 2.98092210e-03
 4.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.99999999e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.99999999e-01
 0.00000000e+00 0.00000000e+00 9.99999990e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.16740602e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.35729847e-02 1.14025086e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.03278991e-04 1.00000000e+00 1.12688754e-03 1.42492768e-04
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",Z3,0.03978586196899414,unsat,"['Z3', 'Bitwuzla', 'BOOLECTOR', 'CVC4', 'MathSAT', 'YICES']",[0.03868579864501953]
