./tmp/uclid500/run-stall-udata-thrualu-umem-coninv-f7.ucl-property_correspondence-vobj-0005.smt2,"[0. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 1.
 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1.
 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 0.]",Z3,0.2554800510406494,unsat,"['Z3', 'YICES', 'Bitwuzla', 'MathSAT', 'CVC4', 'BOOLECTOR']",[0.12080001831054688]
./tmp/uclid500/run-btfnt-bdata-thrualu-amem-coninv-f5.ucl-property_correspondence-vobj-0002.smt2,"[0.         0.40303541 1.         0.         0.         0.
 1.         0.52086137 0.66666667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.15817536 0.         0.         0.27479846 0.         0.18385502
 0.25284202 0.         0.23131767 0.         0.13792282 0.52325581
 0.84745763 0.21176471 0.24719101 2.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.4        0.         0.         0.
 0.         0.         0.         0.00284091 0.         0.
 0.         0.         0.         0.         0.22155693 1.
 0.42625608 0.24253772 0.51423488 0.94545454 1.         1.
 0.9375     0.         0.5045045  0.4        2.        ]",YICES,0.022887229919433594,error,"['YICES', 'Bitwuzla', 'BOOLECTOR', 'Z3', 'CVC4', 'MathSAT']",[0]
./tmp/uclid500/run-stall-bdata-thrualu-amem-coninv-f7.ucl-property_correspondence-vobj-0006.smt2,"[0.         1.49810046 1.         0.         0.         0.
 1.         1.41690341 0.75       0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.63852668 0.         0.         1.58200795 0.         1.6225416
 1.58774682 0.         1.59752284 0.         1.64805969 1.41960184
 1.73571429 1.725      1.6377551  2.28923077 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.5        0.         1.71428571 0.
 0.         0.         0.         1.71297989 0.         1.71428571
 0.         0.         0.         0.         1.60993568 1.
 1.48340844 1.59283943 1.42208704 1.03708887 1.         1.
 1.04081633 0.         1.43171115 1.5        2.33690987]",BOOLECTOR,0.16341614723205566,error,"['BOOLECTOR', 'CVC4', 'MathSAT', 'Bitwuzla', 'YICES', 'Z3']",[0]
./tmp/uclid500/run-std-bdata-fullalu-umem-coninv-f5.ucl-property_correspondence-vobj-0007.smt2,"[0.         1.49841605 1.         0.         0.         0.
 1.         1.49187263 1.09090909 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.57470046 0.         0.         1.37479613 0.         1.33225709
 1.52909661 0.         1.48234289 0.         1.67417764 1.42660099
 1.0212766  1.59036145 1.54231975 1.91666667 0.         0.
 4.         0.         4.         0.         4.         4.
 0.         0.         0.         0.         0.         0.
 0.         4.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.5        0.         1.66666667 0.
 0.         0.         0.         1.66571835 0.         1.66666667
 0.         0.         0.         0.         1.54834103 1.
 1.48609681 1.61140248 1.51439372 1.02851767 1.         1.
 0.9375     0.         1.44176707 1.5        2.13972056]",Z3,0.37627124786376953,unsat,"['Z3', 'CVC4', 'BOOLECTOR', 'YICES', 'MathSAT', 'Bitwuzla']",[0.1713402271270752]
./tmp/uclid500/run-stall-idata-fullalu-amem-coninv-f7.ucl-property_correspondence-vobj-0007.smt2,"[0.         1.36258882 1.         0.         0.         0.
 1.         1.292107   0.76923077 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.46120565 0.         0.         1.49076618 0.         1.52245614
 1.42871682 0.         1.45576882 0.         1.43375479 1.31445171
 1.67844523 1.50893796 1.45555556 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         4.86710963 5.         4.70149254 5.
 0.         0.         0.         1.46999749 0.         1.47058824
 0.         0.         0.         0.         1.44121642 1.
 1.35442087 1.40738606 1.28858191 1.52558458 1.         1.
 1.04938272 0.         1.32472325 4.82222222 0.        ]",Z3,0.326322078704834,unsat,"['Z3', 'CVC4', 'Bitwuzla', 'BOOLECTOR', 'MathSAT', 'YICES']",[0.12316083908081055]
./tmp/uclid500/run-full-idata-thrualu-umem-noinv-f5.ucl-property_correspondence-vobj-0005.smt2,"[0.         0.91669378 1.         0.         0.         0.
 1.         0.9137738  1.125      0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.84792946 0.         0.         0.70723662 0.         0.73489747
 0.8880025  0.         0.86221614 0.         0.89548338 0.90942699
 0.64353312 0.99473684 0.88636364 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.21383648 2.05515239 0.08823529 0.
 0.         0.         0.         0.89358974 0.         0.89345315
 0.         0.         0.         0.         0.86675594 1.
 0.90076579 0.81650006 0.91344922 1.39089254 1.         1.
 0.9375     0.         0.90601504 2.40957447 0.        ]",MathSAT,60.12801170349121,timeout (60.0 s),"['MathSAT', 'YICES', 'CVC4', 'Z3', 'BOOLECTOR', 'Bitwuzla']",[60]
./tmp/uclid500/run-lf-idata-fullalu-amem-coninv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0.         1.12989494 1.         0.         0.         0.
 1.         1.09795822 0.77777778 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.12065235 0.         0.         1.11250142 0.         1.0869226
 1.21080864 0.         1.11523746 0.         1.14068321 1.1134715
 1.42462312 1.45062587 1.17952756 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.40399174 2.51765799 3.67132867 4.1294964
 0.         0.         0.         1.16770518 0.         1.16791444
 0.         0.         0.         0.         1.13103256 1.
 1.130301   1.16223209 1.09462797 1.32993674 1.         1.
 0.94594595 0.         1.12       2.3        0.        ]",Z3,0.2857778072357178,unsat,"['Z3', 'Bitwuzla', 'BOOLECTOR', 'YICES', 'CVC4', 'MathSAT']",[0.12047004699707031]
./tmp/uclid500/run-std-idata-thrualu-umem-coninv-f5.ucl-property_correspondence-vobj-0004.smt2,"[0.         0.70746269 1.         0.         0.         0.
 1.         0.73716918 1.14285714 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.611696   0.         0.         0.60501387 0.         0.573305
 0.64380671 0.         0.61867512 0.         0.62379421 0.74776891
 0.50823529 0.57806452 0.63234228 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.2886836  1.07481899 0.03712297 0.
 0.         0.         0.         0.61649688 0.         0.6159921
 0.         0.         0.         0.         0.6227529  1.
 0.71619976 0.66019987 0.73053724 1.26882611 1.         1.
 0.95238095 0.         0.74116523 1.39233038 0.        ]",Z3,0.2156388759613037,unsat,"['Z3', 'YICES', 'CVC4', 'BOOLECTOR', 'MathSAT', 'Bitwuzla']",[0.12132906913757324]
./tmp/uclid500/run-std-idata-uintalu-umem-noinv-f5.ucl-property_correspondence-vobj-0004.smt2,"[0.         0.72555746 1.         0.         0.         0.
 1.         0.75449102 1.125      0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.63061421 0.         0.         0.52557658 0.         0.54622154
 0.62700302 0.         0.62029678 0.         0.63785494 0.74806202
 0.53761062 0.63669065 0.65927419 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         1.24863252 1.06595745 0.04157044 0.
 0.         0.         0.         0.63883377 0.         0.6383369
 0.         0.         0.         0.         0.62625287 1.
 0.7135808  0.60749324 0.75308483 1.24821519 1.         1.
 0.95744681 0.         0.74145486 1.33417085 0.        ]",Z3,0.2193610668182373,unsat,"['Z3', 'MathSAT', 'BOOLECTOR', 'YICES', 'Bitwuzla', 'CVC4']",[0.1282939910888672]
./tmp/uclid500/run-nt-udata-thrualu-umem-coninv-f5.ucl-property_correspondence-vobj-0006.smt2,"[0.         1.19157937 1.         0.         0.         0.
 1.         1.15865301 1.42857143 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 1.18547447 0.         0.         1.12530068 0.         1.12158189
 1.16547792 0.         1.18329513 0.         1.1976141  1.17445838
 0.831643   1.12765957 1.19005329 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02480159 0.         0.09153318 0.
 0.         0.         0.         1.25133547 0.         1.25167157
 0.         0.         0.         0.         1.17887494 1.
 1.19221652 1.22669895 1.15507049 0.7447702  1.         1.
 0.96153846 0.         1.17556071 0.0313087  0.        ]",Z3,0.34703493118286133,unsat,"['Z3', 'CVC4', 'BOOLECTOR', 'MathSAT', 'Bitwuzla', 'YICES']",[0.17352294921875]
